DateTime,count
1997-11-16 07:14:07,1
1997-11-16 13:25:35,2
1997-11-16 11:37:28,2
1997-11-16 14:02:00,2
1997-11-16 09:14:47,2
1997-11-16 09:31:04,2
1997-11-16 03:25:51,2
1997-11-16 09:30:00,2
1997-11-16 03:23:51,2
1997-11-16 05:30:48,2
1997-11-16 11:55:52,2
1997-11-16 01:11:59,2
1997-11-16 15:04:47,2
1997-11-16 09:11:36,2
1997-11-16 13:37:19,2
1997-11-16 09:19:04,2
1997-11-16 10:58:55,2
1997-11-16 04:58:15,2
1997-11-16 13:02:47,2
1997-11-16 10:17:52,2
1997-11-16 16:56:15,2
1997-11-16 07:57:43,2
1997-11-16 13:01:35,2
1997-11-16 10:34:47,2